"Reference","Qty","Value","DNP","Digi-Key_PN","Exclude from BOM","SKU","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","SC1634","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20","20",".1uF","","","","","Excluded from board","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C21","1","10uF","","","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~"
"D1","1","MCLK","","732-5015-ND","","","","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"D2","1","CLK","","732-5018-ND","","","","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"D3","1","PWR","","732-5016-ND","","","","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"J1","1","Zx50_EdgeConnector","","A34273-40-ND","","","","zx50_footprints:PinHeader_2x40_P2.54mm_Horizontal_Edge","~"
"J2","1","OUT","","ARF1060-ND","","","","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"J3","1","IN","","ARF1060-ND","","","","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"J4","1","PIC PGM","","732-5339-ND","","","","zx50_footprints:PinHeader_1x06_P2.54mm_Horizontal_EDGE","~"
"J5","1","P0","","732-5316-ND","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J6","1","P1","","732-5316-ND","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J7","1","P2","","732-5316-ND","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J8","1","Send/Recv Card","","732-2098-ND","","","","zx50_footprints:IDC-Header_2x05_P2.54mm_Horizontal_Edge","~"
"J9","1","CH0","","732-5316-ND","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J10","1","CH1","","732-5316-ND","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
