Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,20,.1uF,
C21,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uF,
D1,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,1,MCLK,
D2,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,1,CLK,
D3,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,1,PWR,
J1,PinSocket_2x40_P2.54mm_Horizontal_Edge,1,Zx50_EdgeConnector,
J10,PinHeader_1x03_P2.54mm_Vertical,1,CH1,
J11,PinHeader_1x03_P2.54mm_Vertical,1,CH2,
J12,PinHeader_1x03_P2.54mm_Vertical,1,CH3,
J15,PinHeader_2x16_P2.54mm_Vertical_Row_Letter_Last,1,Z80_Addr,
J16,PinHeader_2x08_P2.54mm_Vertical_Row_Letter_Last,1,Z80_Data,
J17,PinHeader_2x08_P2.54mm_Vertical_Row_Letter_Last,1,Z80_Ctrl,
J18,PinHeader_2x02_P2.54mm_Vertical_Row_Letter_Last,1,Clock,
J19,PinHeader_2x08_P2.54mm_Vertical_Row_Letter_Last,1,SH_Data,
J2,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,OUT,
J20,PinHeader_2x08_P2.54mm_Vertical_Row_Letter_Last,1,SH_Ctrl,
J3,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,IN,
J4,PinHeader_1x06_P2.54mm_Horizontal_EDGE,1,PIC PGM,
J5,PinHeader_1x03_P2.54mm_Vertical,1,P0,
J6,PinHeader_1x03_P2.54mm_Vertical,1,P1,
J7,PinHeader_1x03_P2.54mm_Vertical,1,P2,
J8,IDC-Header_2x05_P2.54mm_Horizontal_Edge,1,Send/Recv Card,
J9,PinHeader_1x03_P2.54mm_Vertical,1,CH0,
LCD1,EA_DIG205G-4NLED,1,EA 205G-4NLED,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,49.9R 1W 1%,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,33R,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,2.2K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,470,
"U1, U13",DIP-28_W7.62mm_Socket,2,MCP23S17_SP,
"U10, U11, U12, U2, U3, U4, U5, U8, U9",DIP-16_W7.62mm_Socket,9,CD74HC4051E,
U14,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC154M96,
"U15, U16",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA356xxD,
U17,DIP-40_W15.24mm_Socket,1,PIC18F4620-I_P,
U18,DIP-20_W7.62mm_Socket,1,74AHCT541,
"U6, U7",DIP-20_W7.62mm_Socket,2,SN74ABT245BN,
