Designator,Mid X,Mid Y,Rotation,Layer
A1,221.065,-140.17,270.0,top
C1,31.75,-24.15,90.0,top
C10,58.42,-29.19,270.0,top
C11,203.18,-62.865,0.0,top
C12,127.635,-133.985,270.0,top
C13,95.25,-113.665,90.0,top
C14,115.57,-113.665,90.0,top
C15,80.01,-113.665,90.0,top
C16,67.945,-135.87,90.0,top
C17,50.165,-135.91,90.0,top
C18,236.855,-45.7,270.0,top
C19,215.265,-48.28,90.0,top
C2,127.635,-30.48,0.0,top
C20,246.634,-120.035,270.0,top
C21,36.83,-24.11,90.0,top
C3,111.76,-151.15,270.0,top
C4,124.48,-142.22,270.0,top
C5,160.0,-118.745,180.0,top
C6,203.18,-35.56,0.0,top
C7,88.9,-29.19,270.0,top
C8,43.18,-29.19,270.0,top
C9,73.66,-29.21,270.0,top
D1,210.185,-19.05,180.0,top
D2,202.565,-19.05,180.0,top
D3,194.945,-19.05,180.0,top
J1,31.75,-80.01,0.0,top
J10,231.775,-100.33,180.0,top
J11,236.22,-100.33,180.0,top
J12,240.665,-100.33,180.0,top
J15,168.402,-53.594,0.0,bottom
J16,182.88,-48.26,0.0,bottom
J17,182.88,-72.39,0.0,bottom
J18,182.88,-88.9,0.0,bottom
J19,182.88,-105.41,0.0,bottom
J2,100.33,-155.43,180.0,top
J20,168.91,-104.14,0.0,bottom
J3,83.82,-155.43,180.0,top
J4,245.340476,-63.5,0.0,top
J5,213.125,-91.96,180.0,top
J6,217.715,-91.96,180.0,top
J7,222.305,-91.96,180.0,top
J8,246.38,-83.82,0.0,top
J9,227.33,-100.33,180.0,top
LCD1,233.935,-123.71,90.0,bottom
R1,88.9,-144.78,180.0,top
R10,230.505,-88.265,0.0,top
R2,105.41,-144.78,0.0,top
R3,245.11,-48.26,270.0,top
R4,32.385,-139.7,270.0,top
R5,245.11,-22.352,90.0,top
R6,245.11,-35.052,90.0,top
R7,208.91,-24.765,90.0,top
R8,201.29,-24.765,90.0,top
R9,191.13,-22.86,0.0,top
U1,122.555,-23.495,90.0,top
U10,71.755,-121.285,0.0,top
U11,59.69,-143.51,0.0,top
U12,41.91,-143.51,0.0,top
U13,135.255,-128.905,0.0,top
U14,152.605,-128.905,270.0,top
U15,117.41,-145.415,90.0,top
U16,117.41,-138.43,270.0,top
U17,226.06,-45.72,180.0,top
U18,229.87,-117.475,270.0,top
U2,96.52,-21.59,180.0,top
U3,81.28,-21.59,180.0,top
U4,50.8,-21.59,180.0,top
U5,66.04,-21.59,180.0,top
U6,194.31,-46.99,0.0,top
U7,194.31,-74.93,0.0,top
U8,107.95,-121.285,0.0,top
U9,87.63,-121.285,0.0,top
