"Reference","Qty","Value","DigiKey_PN","SKU","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1 uF","311-1140-1-ND","","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C3,C4,C5,C6,C7,C8","7","0.1uF","311-1140-1-ND","","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"J1","1","CLK_INPUT","732-5316-ND","61300311121","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J2","1","Conn_02x05_Odd_Even","2057-PH2RA-10-UA-ND","PH2RA-10-UA","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J3","1","Conn_Coaxial","ARF1178-ND","31-5640-1010","","","","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"J4","1","CLK_DIV","732-5316-ND","61300311121","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1,R2","2","10K","311-10.0KCRCT-ND","","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","74HC14","MC74HC14ADR2GOSCT-ND","","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HC14"
"U3","1","74AHC1G08","296-1091-1-ND - Cut Tape","SN74AHC1G08DBVR","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U4","1","S74LVC1G79","296-9849-1-ND","SN74LVC1G79DBVR","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://www.ti.com/lit/gpn/sn74lvc1g79"
"U5","1","74AHC1G32","296-1093-1-ND","SN74AHC1G32DBVR","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U6","1","74HC393","296-8317-5-ND","SN74HC393D","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","MC74HC393ADR2G"
"U7","1","74AHC125","296-4530-1-ND","SN74AHC125DR","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"Y1","1","SG-8002DC","17-2485264-1-ND","","","","","Package_DIP:DIP-8_W7.62mm_Socket","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-8002DC"
"U2","1","74HC74","296-1204-1-ND","SN74HC74DR","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74hc74"
