"Reference","Qty","DigiKey_PN","SKU","LCSC","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C12","1","","","","10uF","","Excluded from BOM","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~"
"D1,D2","2","","","","LED","","Excluded from BOM","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~"
"J1","1","2057-PH2RA-80-UA-ND"," PH2RA-80-UA","","Zx50_EdgeConnector","","","","zx50_footprints:PinSocket_2x40_P2.54mm_Horizontal_Edge","~"
"J2","1","732-2094-ND","61201021621","","JTAG","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"MISC1","1","123-AR32-HZL-TT-ND","R 32-HZL-TT","","~","","Excluded from BOM","Excluded from board","DIP-32 socket",""
"R1,R2","2","","","","470","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U12","1","SST39SF040-70-4C-PHE-ND","SST39SF040-70-4C-PHE","","SST39SF040","","","","Package_DIP:DIP-32_W15.24mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf"
"SW1","1","CT2085-ND","","208-5","SW_DIP_x05","","","","Button_Switch_THT:SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm","~"
"RN1","1","4606X-AP1-103LFCT-ND",""," 4606X-AP1-103LF","10K","","","","Resistor_THT:R_Array_SIP6","http://www.vishay.com/docs/31509/csc.pdf"
"D4,D5","2","","","C2293","BLUE","","Excluded from BOM","","LED_SMD:LED_0805_2012Metric","~"
"D3","1","","","C2296","YLW","","Excluded from BOM","","LED_SMD:LED_0805_2012Metric","~"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C26,C27","11","","","C14663","0.1uF","","Excluded from BOM","","Capacitor_SMD:C_0603_1608Metric","~"
"C10,C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25","15","","","C14663",".1uF","","Excluded from BOM","","Capacitor_SMD:C_0603_1608Metric","~"
"R3,R4,R5","3","","","C17710","470","","Excluded from BOM","","Resistor_SMD:R_0805_2012Metric","~"
"U8","1","","","C31179","ATF1508AS-10AU100","","Excluded from BOM","","Package_QFP:TQFP-100_14x14mm_P0.5mm",""
"U1,U5","2","","","C131956","SN74ABT541BN","","Excluded from BOM","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.ti.com/lit/gpn/sn74abt541b"
"U4,U6,U7","3","","","C1548132","74ABT245","","Excluded from BOM","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://www.ti.com/lit/gpn/sn74abt245b"
"U9","1","","","C2062861","IS61C256AL-12JLI","","Excluded from BOM","","Package_SO:SOJ-28_7.62x18.415mm_P1.27mm","http://www.issi.com/WW/pdf/61-64C256AL.pdf"
"U3","1","","","C2869608","SN74ABT16244ADL","","Excluded from BOM","","Package_SO:SSOP-48_7.5x15.9mm_P0.635mm","https://www.ti.com/lit/gpn/sn74abt16244a"
"U10,U11","2","","","C2955765","CY7C1049GN","","Excluded from BOM","","Package_SO:SOJ-36_10.16x23.495mm_P1.27mm",""
"U2","1","","","C52140419","74AHCT1G04","","Excluded from BOM","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
