Designator,Mid X,Mid Y,Rotation,Layer
C1,50.66,-52.705,180.0,top
C10,82.931,-80.391,90.0,top
C11,82.042,-88.9,180.0,top
C12,47.772,-40.894,0.0,top
C13,94.488,-97.93,270.0,top
C14,91.948,-97.93,270.0,top
C15,107.696,-84.836,0.0,top
C16,104.14,-94.234,270.0,top
C17,97.536,-73.914,90.0,top
C18,91.948,-74.422,90.0,top
C19,127.241,-64.764,180.0,top
C2,50.165,-59.69,180.0,top
C20,127.762,-79.496,0.0,top
C21,127.508,-42.158,180.0,top
C22,127.749,-57.144,0.0,top
C23,115.062,-109.855,0.0,top
C24,121.666,-137.16,180.0,top
C25,93.091,-55.626,0.0,top
C26,69.215,-52.07,0.0,top
C27,69.215,-59.055,0.0,top
C3,90.17,-125.8263,270.0,top
C4,68.339,-74.295,0.0,top
C5,64.63,-94.869,0.0,top
C6,68.199,-106.68,0.0,top
C7,68.365,-125.73,0.0,top
C8,42.694,-36.576,0.0,top
C9,54.48025,-89.535,0.0,top
D1,155.661,-29.972,90.0,top
D2,155.661,-36.068,90.0,top
D3,156.4655,-117.729,0.0,top
D4,156.337,-44.346499,0.0,top
D5,156.1865,-67.564,0.0,top
J1,39.624,-90.17,0.0,top
J2,89.408,-49.022,270.0,top
R1,147.574,-28.702,0.0,top
R2,147.828,-34.798,0.0,top
R3,156.4405,-122.809,180.0,top
R4,156.4155,-49.172499,180.0,top
R5,156.1865,-72.136,180.0,top
RN1,98.806,-135.255,180.0,top
SW1,97.536,-144.653,270.0,top
U1,94.742,-127.7443,0.0,top
U10,127.635,-49.654,270.0,top
U11,127.635,-72.13,270.0,top
U12,133.35,-121.158,90.0,top
U2,50.1595,-90.424,180.0,top
U3,59.945,-55.5625,90.0,top
U4,60.12,-80.01,270.0,top
U5,59.944,-99.568,270.0,top
U6,60.276,-112.395,270.0,top
U7,60.276,-131.445,270.0,top
U8,94.0225,-86.3175,270.0,top
U9,133.477,-141.268,90.0,top
