Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C26, C27, C3, C4, C5, C6, C7, C8, C9",0603,11,0.1uF,C14663
"C10, C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",0603,15,.1uF,C14663
C12,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uF,
"D1, D2",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,2,LED,
D3,0805,1,YLW,C2296
"D4, D5",0805,2,BLUE,C2293
J1,PinSocket_2x40_P2.54mm_Horizontal_Edge,1,Zx50_EdgeConnector,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,JTAG,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,470,
"R3, R4, R5",0805,3,470,C17710
RN1,R_Array_SIP6,1,10K,
SW1,SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm,1,SW_DIP_x05,
"U1, U5",TSSOP-20_4.4x6.5mm_P0.65mm,2,SN74ABT541BN,C131956
"U10, U11",SOJ-36_10.16x23.495mm_P1.27mm,2,CY7C1049GN,C2955765
U12,DIP-32_W15.24mm_Socket,1,SST39SF040,
U2,SOT-23-5,1,74AHCT1G04,C52140419
U3,SSOP-48_7.5x15.9mm_P0.635mm,1,SN74ABT16244ADL,C2869608
"U4, U6, U7",SOIC-20W_7.5x12.8mm_P1.27mm,3,74ABT245,C1548132
U8,TQFP-100_14x14mm_P0.5mm,1,ATF1508AS-10AU100,C31179
U9,SOJ-28_7.62x18.415mm_P1.27mm,1,IS61C256AL-12JLI,C2062861
